<<<<<<< HEAD
SG_UF,CO_MUNICIPIO,NO_MUNICIPIO,ID_ESCOLA,NO_ESCOLA,REDE,VL_APROVACAO_2017_SI_4,VL_APROVACAO_2019_SI_4,VL_APROVACAO_2021_SI_4,VL_INDICADOR_REND_2017,VL_INDICADOR_REND_2019,VL_INDICADOR_REND_2021,VL_NOTA_MATEMATICA_2017,VL_NOTA_MATEMATICA_2019,VL_NOTA_MATEMATICA_2021,VL_NOTA_PORTUGUES_2017,VL_NOTA_PORTUGUES_2019,VL_NOTA_PORTUGUES_2021,VL_NOTA_MEDIA_2017,VL_NOTA_MEDIA_2019,VL_NOTA_MEDIA_2021,VL_OBSERVADO_2017,VL_OBSERVADO_2019,VL_OBSERVADO_2021,VL_PROJECAO_2019,VL_PROJECAO_2021,RESULTADO_2019,RESULTADO_2021
PB,2501500.0,Bananeiras,25064800.0,UFPB - COLEGIO AGRICOLA VIDAL DE NEGREIROS DA UFPB,Federal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
PB,2501500.0,Bananeiras,25064894.0,ECIT JOSE ROCHA SOBRINHO,Estadual,65.5,85,95.2,0.655985,0.859254,0.949582,ND,ND,ND,ND,ND,ND,-,-,-,-,,,,,,
PB,2501500.0,Bananeiras,25065025.0,ENE PROF PEDRO A DE ALMEIDA,Estadual,-,70.5,87.2,-,0.762738,0.881258,-,241.42,ND,-,250.97,ND,-,3.83728,-,-,2.9,,,3.1,,
PB,2501534.0,Baraúna,25118579.0,EEEM PREFEITO SEVERINO PEREIRA GOMES,Estadual,66.8,75.9,97.1,0.718415,0.761929,0.97482,253.66,261.93,ND,262.67,262.25,ND,4.18434,4.294205,-,3,3.3,,3.2,3.4,0.09999999999999964,
PB,2501575.0,Barra de Santana,25052497.0,ECI EEM ALMIRANTE ANTONIO HERACLITO DO REGO,Estadual,88.4,80.8,100,0.888956,0.821395,1,245.54,257.66,ND,235.7,262.12,ND,3.666553,4.232287,-,3.3,3.5,,3.5,3.7,0.0,
PB,2501609.0,Barra de Santa Rosa,25055046.0,ECIT JOSE LUIZ NETO,Estadual,79.6,82.8,95.7,0.801212,0.826001,0.957751,ND,268.54,ND,ND,265.45,ND,-,4.434946,-,-,3.7,,,3.9,,
PB,2501708.0,Barra de São Miguel,25051296.0,EEE FUNDAMENTAL E MEDIO MELQUIADES TEJO,Estadual,85.6,84.2,93.9,0.82405,0.84189,0.934807,231.59,254.92,ND,229.87,258.36,ND,3.38335,4.137516,-,2.8,3.5,,3.0,3.2,0.5,
PB,2501807.0,Bayeux,25090879.0,EEEFM ENG JOSE DAVILA LINS,Estadual,63,68.1,98.4,0.64481,0.662792,0.984305,ND,ND,ND,ND,ND,ND,-,-,-,-,,,,,,
PB,2501807.0,Bayeux,25090887.0,ECIT PROFESSOR ANTONIO GOMES,Estadual,59.7,70.2,99.2,0.605215,0.704307,0.990268,ND,ND,ND,ND,ND,ND,-,-,-,-,,,,,,
PB,2501807.0,Bayeux,25090909.0,ECI IRINEU PINTO,Estadual,88.3,77.7,95.7,0.900934,0.78269,0.954809,259.72,262.45,ND,260.43,267.5,ND,4.23592,4.380101,-,3.8,3.4,,4.0,4.3,-0.6000000000000001,
PB,2501807.0,Bayeux,25090984.0,ECI EEFM JOAO CAETANO,Estadual,62.1,60.9,92.1,0.639761,0.596678,0.921821,ND,ND,ND,ND,ND,ND,-,-,-,-,,,,,,
PB,2501807.0,Bayeux,25091000.0,EEEF TANCREDO NEVES,Estadual,-,66.7,84.7,-,0.6442,0.835017,-,ND,ND,-,ND,ND,-,-,-,-,,,,,,
PB,2501807.0,Bayeux,25091018.0,EEEF VERALDO LEITE,Estadual,-,81.8,90.9,-,0.815059,0.913995,-,ND,ND,-,ND,ND,-,-,-,-,,,,,,
PB,2501807.0,Bayeux,25127594.0,ECIT BAYEUX ERENICE CAVALCANTE FIDELIS,Estadual,96,94.1,97.9,0.961177,0.942767,0.978289,ND,ND,ND,ND,ND,ND,-,-,-,-,,,,,,
PB,2501906.0,Belém,25067133.0,ECIT ENG MARCIA GUEDES ALCOFORADO DE CARVALHO,Estadual,75.6,86.7,95,0.768705,0.868133,0.951117,229.04,256.24,253.89,238.96,274.24,274.75,3.483614,4.39378,4.368409,2.7,3.8,4.2,2.9,3.1,0.8999999999999999,1.1
PB,2501906.0,Belém,25067141.0,EEEFM FELINTO ELIZIO,Estadual,-,96.1,96,-,0.960189,0.959637,-,233.72,ND,-,254.52,ND,-,3.782278,-,-,3.6,,,3.8,,
PB,2502003.0,Belém do Brejo do Cruz,25000047.0,ECI NOSSA SENHORA DA CONCEICAO,Estadual,76.7,77.4,100,0.775889,0.779263,1,243.45,284.98,ND,235.41,271.04,ND,3.632858,4.749527,-,2.8,3.7,,3.0,3.2,0.7000000000000002,
PB,2502003.0,Belém do Brejo do Cruz,25000055.0,EEEFM AMERICO MAIA,Estadual,-,78.6,-,-,0.783404,-,-,221.21,-,-,204.75,-,-,2.861516,-,-,2.2,,,2.4,,
PB,2502052.0,Bernardino Batista,25012193.0,EEEFM NELSON BATISTA ALVES,Estadual,66.7,97.4,100,0.58597,0.975157,1,ND,284.19,ND,ND,279.73,ND,-,4.868522,-,-,4.7,,,5.0,,
PB,2502102.0,Boa Ventura,25027573.0,ECI EEM JOAO CAVALCANTE SULA,Estadual,88.5,85.1,100,0.893427,0.858878,1,231.23,257.27,ND,225.6,263.35,ND,3.314372,4.245222,-,3,3.6,,3.2,3.4,0.3999999999999999,
PB,2502151.0,Boa Vista,25075918.0,ECI EEM TEODOSIO DE OLIVEIRA LEDO,Estadual,95.7,89.9,100,0.953124,0.909755,1,237.4,255.16,239.56,247.6,259.16,252.32,3.730371,4.152863,3.831366,3.6,3.8,3.8,3.8,4.0,0.0,-0.20000000000000018
PB,2502201.0,Bom Jesus,25006029.0,EEEFM PROF JOAQUIM UMBELINO,Estadual,85.7,92,72.4,0.855857,0.925477,0.737632,246.88,237.23,ND,260.31,237.74,ND,4.053786,3.580378,-,3.5,3.3,,3.7,3.9,-0.40000000000000036,
PB,2502300.0,Bom Sucesso,25000349.0,ECIT PADRE ARISTIDES,Estadual,81.5,97.3,100,0.820198,0.974605,1,235.44,270.12,ND,236.62,271.36,ND,3.538471,4.54561,-,2.9,4.4,,3.1,3.3,1.3000000000000003,
PB,2502409.0,Bonito de Santa Fé,25006223.0,ECI EEM MONSENHOR MORAIS,Estadual,64,81.6,100,0.632331,0.78437,1,241.6,255.19,ND,241.44,257.9,ND,3.697144,4.134422,-,2.3,3.2,,2.6,2.8,0.6000000000000001,
PB,2502508.0,Boqueirão,25051580.0,ECIT CONSELHEIRO JOSE BRAZ DO REGO,Estadual,85.2,97.2,100,0.85103,0.975706,1,253.85,295.68,270.27,250.66,304.06,269.3,4.007218,5.39412,4.516878,3.4,5.3,4.5,3.6,3.8,1.6999999999999997,0.7000000000000002
PB,2502508.0,Boqueirão,25117700.0,EEEFM SEVERINO BARBOSA CAMELO,Estadual,-,77.7,99.8,-,0.775477,0.998328,-,ND,ND,-,ND,ND,-,-,-,-,,,,,,
PB,2502607.0,Igaracy,25023896.0,ECI JOSELITA BRASILEIRO,Estadual,91,90.3,95.7,0.915202,0.905346,0.956606,253.25,271.29,ND,259.37,264.39,ND,4.129181,4.457701,-,3.8,4.0,,4.0,4.2,0.0,
PB,2502706.0,Borborema,25065513.0,ECIT EFIGENIO LEITE,Estadual,77.9,79.2,96.7,0.779092,0.799608,0.967825,223.64,259.97,ND,234.66,267.62,ND,3.3434,4.347066,-,2.6,3.5,,2.8,3.0,0.7000000000000002,
PB,2502805.0,Brejo do Cruz,25000640.0,ECIT JOSE OLIMPIO MAIA,Estadual,73.7,92.5,100,0.706391,0.932448,1,238.29,264.01,ND,242.05,268.76,ND,3.659787,4.420873,-,2.6,4.1,,2.8,3.0,1.2999999999999998,
PB,2502805.0,Brejo do Cruz,25000659.0,EEEFM ANTONIO GOMES,Estadual,-,58.2,94.1,-,0.594209,0.947003,-,ND,ND,-,ND,ND,-,-,-,-,,,,,,
PB,2502904.0,Brejo dos Santos,25001477.0,ECI EEFM PROFESSORA DIVA GUEDES DE ARAUJO,Estadual,77.5,72.1,100,0.790718,0.719222,1,262.38,251.52,ND,259.61,260.93,ND,4.261004,4.128236,-,3.4,3.0,,3.6,3.8,-0.6000000000000001,
PB,2503001.0,Caaporã,25100459.0,EEEF ALBERTO LUNDGREN,Estadual,-,72.8,99.4,-,0.727476,0.994309,-,ND,ND,-,ND,ND,-,-,-,-,,,,,,
PB,2503001.0,Caaporã,25120751.0,ECI AURICELIA MARIA DA COSTA,Estadual,82.1,93.5,99.4,0.82845,0.925361,0.994268,235.15,247.35,ND,232.88,260.02,ND,3.47841,4.056046,-,2.9,3.8,,3.1,3.3,0.6999999999999997,
PB,2503100.0,Cabaceiras,25053124.0,ECIT ALCIDES BEZERRA,Estadual,84,83.4,98.4,0.856988,0.835262,0.985222,ND,297.01,268.84,ND,296.35,274.59,-,5.29738,4.575986,-,4.4,4.5,,4.6,,-0.09999999999999964
PB,2503100.0,Cabaceiras,25053159.0,EEEF CLOVIS PEDROSA,Estadual,-,-,100,-,-,1,-,-,267.93,-,-,275.72,-,-,4.580121,-,,4.6,,,,
PB,2503209.0,Cabedelo,25091549.0,ECI JOSE GUEDES CAVALCANTE,Estadual,81.8,83.4,97.1,0.836749,0.843903,0.971554,242.67,280.5,ND,251.66,295.9,ND,3.865166,5.058762,-,3.2,4.3,,3.4,3.7,0.8999999999999999,
PB,2503209.0,Cabedelo,25091573.0,EEEF JOAO XXIII,Estadual,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
PB,2503209.0,Cabedelo,25091603.0,EEEFM PEDRO AMERICO,Estadual,47.2,57.3,100,0.480979,0.538914,1,ND,ND,ND,ND,ND,ND,-,-,-,-,,,,,,
PB,2503209.0,Cabedelo,25091611.0,EEEFM PROFESSOR PEDRO ANIBAL MOURA,Estadual,65.9,76.7,99.1,0.655007,0.768263,0.989449,ND,ND,ND,ND,ND,ND,-,-,-,-,,,,,,
PB,2503209.0,Cabedelo,25091620.0,ECI EEFM ABREU E LIMA,Estadual,53,76.2,96.4,0.542837,0.735556,0.960617,ND,ND,ND,ND,ND,ND,-,-,-,-,,,,,,
PB,2503209.0,Cabedelo,25091638.0,ECI IMACULADA CONCEICAO,Estadual,68.8,-,-,0.693941,-,-,ND,-,-,ND,-,-,-,-,-,-,,,,,,
PB,2503209.0,Cabedelo,25128370.0,IFPB - CAMPUS AVANCADO CABEDELO CENTRO,Federal,-,-,74.3,-,-,0.722831,-,-,ND,-,-,ND,-,-,-,-,,,,,,
PB,2503209.0,Cabedelo,25282921.0,IFPB - CAMPUS CABEDELO,Federal,100,96.5,88.5,1,0.967632,0.8872,ND,ND,ND,ND,ND,ND,-,-,-,-,,,,,,
PB,2503308.0,Cachoeira dos Índios,25007092.0,ECI EEFM PROFESSOR ADALBERTO DE SOUSA OLIVEIRA,Estadual,59.7,79.6,89.6,0.600646,0.788898,0.898624,ND,251.62,ND,ND,263.28,ND,-,4.16482,-,-,3.3,,,3.5,,
PB,2503407.0,Cacimba de Areia,25019813.0,ESCOLA CIDADA INTEGRAL ESTADUAL DE ENSINO MEDIO ALDO SATIRO XAVIER,Estadual,99.2,100,100,0.990143,1,1,237.78,271.49,ND,237.06,264.67,ND,3.577923,4.464702,-,3.5,4.5,,3.8,4.0,0.7000000000000002,
PB,2503506.0,Cacimba de Dentro,25059629.0,ECI HUMBERTO LUCENA,Estadual,96,95.1,100,0.966665,0.954283,1,288.45,290.67,ND,300.92,302.34,ND,5.245569,5.298006,-,5.1,5.1,,5.3,5.5,-0.20000000000000018,
PB,2503506.0,Cacimba de Dentro,25122908.0,EEEFMN PEDRO TARGINO DA COSTA MOREIRA,Estadual,65.6,74.2,92.7,0.70697,0.755222,0.943195,ND,254.54,ND,ND,263.99,ND,-,4.21646,-,-,3.2,,,3.4,,
PB,2503555.0,Cacimbas,25033794.0,EEEFM PEDRO TERTO DA CUNHA,Estadual,91,86.2,99.6,0.908619,0.864586,0.995968,ND,ND,ND,ND,ND,ND,-,-,-,-,,,,,,
PB,2503605.0,Caiçara,25067460.0,ECI EEM PROFESSORA MARIA GERTRUDES DE CARVALHO NEVES,Estadual,72.6,85.6,98,0.71917,0.866082,0.979666,ND,265.52,ND,ND,289.34,ND,-,4.750165,-,-,4.1,,,4.3,,
PB,2503704.0,Cajazeiras,25007718.0,EEEFM PROF MANOEL MANGUEIRA LIMA,Estadual,74.8,82.3,90.3,0.733653,0.817981,0.906414,ND,265.99,ND,ND,273.36,ND,-,4.517544,-,-,3.7,,,3.9,,
PB,2503704.0,Cajazeiras,25007726.0,ECI PROFESSOR CRISPIM COELHO,Estadual,59.3,82.1,100,0.581923,0.834218,1,ND,302.42,ND,ND,304.07,ND,-,5.488932,-,-,4.6,,,4.8,,
PB,2503704.0,Cajazeiras,25007742.0,EEEF DOM MOISES COELHO,Estadual,-,-,99.3,-,-,0.992637,-,-,ND,-,-,ND,-,-,-,-,,,,,,
PB,2503704.0,Cajazeiras,25007785.0,ECIT CRISTIANO CARTAXO,Estadual,75.3,87.2,100,0.764591,0.887423,1,ND,274.82,ND,ND,276.44,ND,-,4.687669,-,-,4.2,,,4.4,,
PB,2503704.0,Cajazeiras,25007904.0,EEEFM MONS CONSTANTINO VIEIRA,Estadual,66.7,68.2,99.6,0.66773,0.672671,0.99666,261.51,ND,ND,269.41,ND,ND,4.395491,-,-,2.9,,,3.1,3.4,,
PB,2503704.0,Cajazeiras,25008978.0,IFPB - CAMPUS CAJAZEIRAS,Federal,94.9,94.8,94.7,0.951808,0.948568,0.947112,ND,ND,ND,ND,ND,ND,-,-,-,-,,,,,,
PB,2503704.0,Cajazeiras,25009087.0,UFCG - ESCOLA TECNICA DE SAUDE DE CAJAZEIRAS,Federal,77.9,88.4,-,0.762235,0.875814,-,373.02,373.25,-,347.22,344.02,-,7.126463,7.08179,-,5.4,6.2,,5.6,5.8,0.6000000000000005,
PB,2503704.0,Cajazeiras,25129295.0,ECIT PROFESSORA NICEA CLAUDINO PINHEIRO,Estadual,-,95.6,100,-,0.959915,1,-,294.44,281.13,-,298.53,292.28,-,5.293919,5.013418,-,5.1,5.0,,5.3,,-0.2999999999999998
PB,2503753.0,Cajazeirinhas,25016059.0,EEEFM MARIA SOLEDADE ASSIS FREITAS,Estadual,92,94.4,90.4,0.925187,0.945799,0.906129,265.87,273.15,ND,251.86,273.15,ND,4.194003,4.614962,-,3.9,4.4,,4.1,4.3,0.3000000000000007,
PB,2503803.0,Caldas Brandão,25080261.0,ECI EEM MANOEL AVELINO PAIVA,Estadual,74.9,88.3,96.4,0.751889,0.866583,0.971645,ND,ND,ND,ND,ND,ND,-,-,-,-,,,,,,
PB,2503803.0,Caldas Brandão,25080270.0,EEEFM DE CALDAS BRANDAO,Estadual,82.2,-,100,0.825755,-,1,226.74,-,227.68,228.94,-,230.84,3.30131,-,3.342956,2.7,,3.3,2.9,3.1,,0.19999999999999973
PB,2503902.0,Camalaú,25044362.0,ECIT PEDRO BEZERRA FILHO,Estadual,88.1,94.5,100,0.870742,0.94838,1,257.37,275.39,ND,262.28,280.97,ND,4.230609,4.763489,-,3.7,4.5,,3.9,4.1,0.6000000000000001,
PB,2504009.0,Campina Grande,25070703.0,CAIC JOSE JOFILLY,Estadual,84.8,64.6,99.5,0.861214,0.635578,0.996306,264.83,252.66,ND,277.83,264.32,ND,4.568168,4.194996,-,3.9,2.7,,4.2,4.4,-1.5,
PB,2504009.0,Campina Grande,25071394.0,EEEFM MONSENHOR SALES,Estadual,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
PB,2504009.0,Campina Grande,25072005.0,EEEFM ADEMAR VELOSO SILVEIRA,Estadual,61.6,72.7,99.6,0.635904,0.704857,0.992214,ND,276.97,ND,ND,284.34,ND,-,4.836129,-,-,3.4,,,3.6,,
PB,2504009.0,Campina Grande,25072013.0,ECIT ESTADUAL PROFESSOR RAUL CORDULA,Estadual,70,93.4,98.8,0.712068,0.939533,0.98759,ND,299.3,ND,ND,305.09,ND,-,5.460381,-,-,5.1,,,5.3,,
PB,2504009.0,Campina Grande,25072021.0,EEEFM SEN ARGEMIRO DE FIGUEIREDO,Estadual,68.5,77.2,95.3,0.684614,0.772818,0.952242,ND,272.91,ND,ND,282.75,ND,-,4.755304,-,-,3.7,,,3.9,,
PB,2504009.0,Campina Grande,25072030.0,ECI NENZINHA CUNHA LIMA,Estadual,61.8,92.7,100,0.615954,0.93206,1,ND,300.87,257.92,ND,305.58,268.15,-,5.489767,4.326208,-,5.1,4.3,,5.3,,-1.0
PB,2504009.0,Campina Grande,25072056.0,EEEFM POETA CARLOS DRUMOND DE ANDRADE,Estadual,-,75,75.3,-,0.755907,0.754735,-,ND,ND,-,ND,ND,-,-,-,-,,,,,,
PB,2504009.0,Campina Grande,25072064.0,EEEF MARIA AUGUSTA LUCENA BRITO,Estadual,90,-,-,0.89623,-,-,230.73,-,-,230.76,-,-,3.384595,-,-,3,,,3.2,3.5,,
PB,2504009.0,Campina Grande,25072080.0,EEEFM NINA ALVES DE LIMA,Estadual,-,79,-,-,0.799961,-,-,278.44,-,-,289.44,-,-,4.933123,-,-,3.9,,,4.2,,
PB,2504009.0,Campina Grande,25072099.0,ECI ASSIS CHATEAUBRIAND,Estadual,80.4,64.9,100,0.80399,0.638884,1,ND,ND,ND,ND,ND,ND,-,-,-,-,,,,,,
PB,2504009.0,Campina Grande,25072102.0,ECI DEPUTADO ALVARO GALDENCIO DE QUEIROZ,Estadual,64.4,88,100,0.655651,0.878761,1,ND,292.46,ND,ND,308.68,ND,-,5.418057,-,-,4.8,,,5.0,,
PB,2504009.0,Campina Grande,25072110.0,ECI FELIX ARAUJO,Estadual,82.2,80.2,99.3,0.828649,0.805242,0.989796,ND,306.37,ND,ND,294.28,ND,-,5.397853,-,-,4.3,,,4.6,,
PB,2504009.0,Campina Grande,25072129.0,EEEFM SAO SEBASTIAO,Estadual,83.3,72.4,100,0.838794,0.722689,1,ND,ND,ND,ND,ND,ND,-,-,-,-,,,,,,
PB,2504009.0,Campina Grande,25072137.0,ECIT ANESIO LEAO,Estadual,68.5,95.2,100,0.701787,0.963645,1,ND,275.77,263.78,ND,300.92,282.6,-,5.067479,4.624828,-,4.9,4.6,,5.1,,-0.5
PB,2504009.0,Campina Grande,25072145.0,EEEFM DOM LUIZ GONZAGA FERNANDES,Estadual,57.4,64.6,98.9,0.507241,0.630229,0.988753,260.29,ND,ND,258.65,ND,ND,4.217279,-,-,2.1,,,2.9,3.2,,
PB,2504009.0,Campina Grande,25072153.0,ECIT SEVERINO CABRAL,Estadual,75.3,81.9,99.6,0.757592,0.822322,0.995289,ND,307.75,287.06,ND,316.91,296.29,-,5.756007,5.156735,-,4.7,5.1,,4.9,,0.1999999999999993
PB,2504009.0,Campina Grande,25072218.0,EEEFM CLEMENTINO PROCOPIO,Estadual,65.8,71.7,99,0.666398,0.723501,0.989997,268.3,269.47,ND,269.16,277.85,ND,4.487114,4.633636,-,3,3.4,,3.2,3.4,0.19999999999999973,
PB,2504009.0,Campina Grande,25072234.0,EEEFM DE MONTE SANTO,Estadual,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
