<<<<<<< HEAD
SG_UF,CO_MUNICIPIO,NO_MUNICIPIO,ID_ESCOLA,NO_ESCOLA,REDE,VL_APROVACAO_2017_SI_4,VL_APROVACAO_2019_SI_4,VL_APROVACAO_2021_SI_4,VL_INDICADOR_REND_2017,VL_INDICADOR_REND_2019,VL_INDICADOR_REND_2021,VL_NOTA_MATEMATICA_2017,VL_NOTA_MATEMATICA_2019,VL_NOTA_MATEMATICA_2021,VL_NOTA_PORTUGUES_2017,VL_NOTA_PORTUGUES_2019,VL_NOTA_PORTUGUES_2021,VL_NOTA_MEDIA_2017,VL_NOTA_MEDIA_2019,VL_NOTA_MEDIA_2021,VL_OBSERVADO_2017,VL_OBSERVADO_2019,VL_OBSERVADO_2021,VL_PROJECAO_2017,VL_PROJECAO_2019,VL_PROJECAO_2021,RESULTADO_2017,RESULTADO_2019,RESULTADO_2021
PB,2500304.0,Alagoa Grande,25063111.0,EMEIF CANDIDO REGIS DE BRITO,Municipal,78.8,80.8,81.3,0.804851,0.798359,0.802393,226.4,245.81,ND,251.67,241.09,ND,4.6345,4.781667,-,3.7,3.8,,3.8,4.1,4.4,-0.09999999999999964,-0.2999999999999998,
PB,2500304.0,Alagoa Grande,25063235.0,EMEIF INSTITUTO DESEMBARGADOR SEVERINO MONTENEGRO,Municipal,69.3,79.2,82.4,0.682238,0.788488,0.82338,232.09,250.29,ND,247.57,249.95,ND,4.661,5.004,-,3.2,3.9,,3.8,4.1,4.4,-0.5999999999999996,-0.19999999999999973,
PB,2500304.0,Alagoa Grande,25117130.0,EMEIF FIRMO SANTINO DA SILVA,Municipal,74.7,81,77.2,0.745578,0.826893,0.783025,235.32,235.07,ND,235.75,230.52,ND,4.517833,4.4265,-,3.4,3.7,,3.5,3.8,4.1,-0.10000000000000009,-0.09999999999999964,
PB,2500304.0,Alagoa Grande,25123319.0,EEEF MANOEL BARBOSA DE LUCENA,Estadual,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
PB,2500304.0,Alagoa Grande,25153609.0,EMEF ARACY NOBREGA MONTENEGRO,Municipal,77.7,71.4,89.9,0.779952,0.717524,0.904865,231.03,ND,232.09,230.03,ND,235.33,4.351,-,4.457,3.4,,4.0,3.9,4.2,4.5,-0.5,,-0.5
PB,2500403.0,Alagoa Nova,25063316.0,EMEIEF MANOEL MARTINS DE OLIVEIRA FILHO,Municipal,-,88.7,100,-,0.847584,1,-,220.51,232.1,-,232.33,234.96,-,4.214,4.451,,3.6,4.5,,,3.8,,,0.7000000000000002
PB,2500403.0,Alagoa Nova,25063340.0,ECIT MONSENHOR JOSE BORGES DE CARVALHO,Estadual,67.5,77.5,100,0.67785,0.775396,1,247.37,268.74,238.14,243.39,280.32,238.47,4.846,5.817667,4.610167,3.3,4.5,4.6,4.3,4.5,4.8,-1.0,0.0,-0.20000000000000018
PB,2500403.0,Alagoa Nova,25063421.0,EEEF PROF CARDOSO,Estadual,80.1,72.8,99.2,0.815794,0.726683,0.991624,251.21,259.75,ND,254.92,259.6,ND,5.102167,5.3225,-,4.2,3.9,,4.0,4.3,4.5,0.20000000000000018,-0.3999999999999999,
PB,2500403.0,Alagoa Nova,25122150.0,COLEGIO MUNICIPAL PROFESSORA VIOLETA COSTA DE SOUZA,Municipal,53.8,52.4,98.8,0.535534,0.54095,0.988152,222.46,232.83,ND,230.36,225.62,ND,4.213667,4.3075,-,2.3,2.3,,4.1,4.4,4.7,-1.7999999999999998,-2.1000000000000005,
PB,2500502.0,Alagoinha,25066374.0,ECIT AGENOR CLEMENTE DOS SANTOS,Estadual,84.1,96.4,100,0.841331,0.964223,1,248.13,240.75,227.15,255.54,259.84,232.87,5.061167,5.009833,4.333667,4.3,4.8,4.3,3.8,4.0,4.3,0.5,0.7999999999999998,0.0
PB,2500502.0,Alagoinha,25066609.0,GR MUL JOSE BARBOSA DE LUCENA,Municipal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,4.6,4.9,5.2,,,
PB,2500502.0,Alagoinha,25253948.0,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL PROFESSORA LIA BELTRAO,Municipal,82.2,81.6,99.5,0.825371,0.810131,0.995227,224.98,ND,ND,235.76,ND,ND,4.345667,-,-,3.6,,,4.1,4.4,4.7,-0.49999999999999956,,
PB,2500536.0,Alcantil,25051598.0,ECIT PROFESSORA MARIA CECILIA DE CASTRO,Estadual,68.4,-,-,0.684,-,-,ND,-,-,ND,-,-,-,-,-,,,,3.9,4.2,4.5,,,
PB,2500536.0,Alcantil,25052292.0,ESCOLA MUN ENS FUND JOSE EUZEBIO DA COSTA,Municipal,73.4,78.9,90,0.751653,0.797153,0.899729,258.3,245.42,ND,252.94,240.35,ND,5.187333,4.762833,-,3.9,3.8,,4.2,4.5,4.8,-0.30000000000000027,-0.7000000000000002,
PB,2500536.0,Alcantil,25052365.0,ESCOLA MUN ENS FUND JOSE CLEMENTE,Municipal,82,83.8,97.4,0.819558,0.828355,0.973979,ND,212.09,ND,ND,201.27,ND,-,3.556,-,,2.9,,4.2,4.4,4.7,,-1.5000000000000004,
PB,2500577.0,Algodão de Jandaíra,25057898.0,EMEF MANOEL ANTONIO COELHO DE ANDRADE,Municipal,79,78.2,94.4,0.792646,0.790903,0.942587,213.65,224.1,ND,228.87,230.05,ND,4.042,4.235833,-,3.2,3.4,,4.0,4.3,4.5,-0.7999999999999998,-0.8999999999999999,
PB,2500601.0,Alhandra,25100033.0,ECIT RENATO RIBEIRO COUTINHO,Estadual,90.5,92.3,95.3,0.903517,0.922609,0.954767,207.11,260.3,231.01,209.86,256.21,240.23,3.616167,5.275167,4.520667,3.3,4.9,4.3,4.9,5.2,5.5,-1.6000000000000005,-0.2999999999999998,-1.2000000000000002
PB,2500601.0,Alhandra,25100041.0,EEEFM BARAO DO ABIAI,Estadual,67.6,74.5,100,0.67559,0.732924,1,220.53,ND,ND,229.6,ND,ND,4.168833,-,-,2.8,,,3.6,3.9,4.2,-0.8000000000000003,,
PB,2500601.0,Alhandra,25100092.0,EMEIEF ALFREDO JOSE DE CARVALHO,Municipal,67.2,80.5,-,0.676598,0.815574,-,213.18,ND,-,229.56,ND,-,4.045667,-,-,2.7,,,3.6,3.9,4.2,-0.8999999999999999,,
PB,2500601.0,Alhandra,25100122.0,EMEIEF CREUZA RAQUEL PEREIRA GENUARIO NUNES,Municipal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,2.6,2.9,3.1,,,
PB,2500601.0,Alhandra,25100165.0,EMEIEF HERCULANO BANDEIRA LUNDGREN,Municipal,97.8,72,98.4,0.984567,0.681208,0.983744,242.41,ND,227.79,238.84,ND,237.71,4.6875,-,4.425,4.6,,4.4,,4.9,5.1,,,-0.6999999999999993
PB,2500601.0,Alhandra,25100360.0,EMEIEF PROF ZELIA CORREIA DO O,Municipal,70.3,73.9,87.4,0.70343,0.727429,0.879524,ND,230.76,ND,ND,224.19,ND,-,4.249167,-,,3.1,,4.4,4.7,5.0,,-1.6,
PB,2500601.0,Alhandra,25102519.0,EEEFM ANTONIO CAMELO,Estadual,66.1,76.3,100,0.638129,0.75017,1,ND,ND,ND,ND,ND,ND,-,-,-,,,,4.0,4.3,4.5,,,
PB,2500601.0,Alhandra,25132261.0,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL JOAO FRANCISCO DE LIMA,Municipal,-,-,95,-,-,0.944455,-,-,223.28,-,-,231.26,-,-,4.242333,,,4.0,,,,,,
PB,2500700.0,São João do Rio do Peixe,25004875.0,ENE MIN JOSE AMERICO DE ALMEIDA,Estadual,69.3,80.7,98.4,0.681883,0.775809,0.982447,239,248.4,ND,250.16,244.39,ND,4.819333,4.879833,-,3.3,3.8,,4.1,4.4,4.7,-0.7999999999999998,-0.6000000000000005,
PB,2500700.0,São João do Rio do Peixe,25004883.0,ECIT CORONEL JACOB GUILHERME FRANTZ,Estadual,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,3.9,4.2,4.5,,,
PB,2500700.0,São João do Rio do Peixe,25004999.0,EEEF DE BANDARRA,Estadual,87.8,-,-,0.859332,-,-,245.2,-,-,246.01,-,-,4.8535,-,-,4.2,,,4.8,5.0,5.3,-0.5999999999999996,,
PB,2500700.0,São João do Rio do Peixe,25005030.0,EMEF DE GRAVATA,Municipal,78.5,83.3,100,0.770984,0.81231,1,251.11,280.58,245.98,243.85,240.63,238.82,4.916,5.3535,4.746667,3.8,4.3,4.7,4.1,4.4,4.6,-0.2999999999999998,-0.10000000000000053,0.10000000000000053
PB,2500700.0,São João do Rio do Peixe,25005502.0,EMEIEF JACOB GUILHERME FRANTZ,Municipal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
PB,2500700.0,São João do Rio do Peixe,25114565.0,EMEIEF MARIA VIEIRA DE SOUSA,Municipal,-,-,100,-,-,1,-,-,257.71,-,-,245.06,-,-,5.046167,,,5.0,,,,,,
PB,2500700.0,São João do Rio do Peixe,25118447.0,EMEIEF DR JOSE DANTAS PINHEIRO,Municipal,57.9,79.3,100,0.5802,0.792248,1,ND,247.51,ND,ND,253.06,ND,-,5.0095,-,,4.0,,4.3,4.6,4.8,,-0.5999999999999996,
PB,2500734.0,Amparo,25049852.0,ESCOLA M DE EDUCACAO BASICA ILDEFONSO ANSELMO DA SILVA,Municipal,95.6,85.8,99,0.955717,0.872888,0.990662,235.55,248.11,241.72,234.79,243.27,242.04,4.505667,4.856333,4.729333,4.3,4.2,4.7,4.3,4.6,4.9,0.0,-0.39999999999999947,-0.20000000000000018
PB,2500775.0,Aparecida,25018094.0,ECI EEFM DR JOSE GADELHA,Estadual,84.5,71.1,99,0.842262,0.62058,0.992443,247.04,255.73,231.53,238.6,255.83,234.09,4.760667,5.192667,4.427,4.0,3.2,4.4,3.8,4.1,4.4,0.20000000000000018,-0.8999999999999995,0.0
PB,2500775.0,Aparecida,25019406.0,EMEF JOAQUINA AMELIA DE SA,Municipal,76.7,-,99,0.767978,-,0.991278,262.84,-,ND,279.38,-,ND,5.703667,-,-,4.4,,,,4.6,4.9,,,
PB,2500775.0,Aparecida,25019481.0,EMEF ANTONIO MEIRA DE SA,Municipal,84.3,87.1,99.5,0.852281,0.886277,0.996718,232.98,266.05,248.45,241.06,277.18,249.73,4.567333,5.7205,4.969667,3.9,5.1,5.0,4.1,4.4,4.6,-0.19999999999999973,0.6999999999999993,0.40000000000000036
PB,2500775.0,Aparecida,25241923.0,EMEF SEVERINA FERREIRA DE SOUSA,Municipal,70.1,74.4,100,0.681021,0.750826,1,269.88,278.94,244.86,242.34,244.03,255.17,5.203667,5.382833,5.0005,3.5,4.0,5.0,,3.8,4.0,,0.20000000000000018,1.0
PB,2500809.0,Araçagi,25066668.0,EEEFM RODRIGUES DE CARVALHO,Estadual,69.3,84,100,0.695137,0.824082,1,ND,241.46,ND,ND,242.04,ND,-,4.725,-,,3.9,,4.2,4.5,4.8,,-0.6000000000000001,
PB,2500809.0,Araçagi,25066897.0,EMEF LUIZ BARBOSA,Municipal,73.6,-,100,0.763579,-,1,ND,-,ND,ND,-,ND,-,-,-,,,,3.1,3.4,3.7,,,
PB,2500809.0,Araçagi,25066900.0,EMEF MARGARIDA PESSOA COUTINHO,Municipal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
PB,2500809.0,Araçagi,25109650.0,EMEF AGRIPINO RIBEIRO FILHO,Municipal,69.7,79.3,99,0.711826,0.804515,0.987223,ND,219.73,ND,ND,218.2,ND,-,3.9655,-,,3.2,,3.7,4.0,4.2,,-0.7999999999999998,
PB,2500809.0,Araçagi,25113348.0,EMEF OLIVIO MAROJA,Municipal,77.6,77.5,96.7,0.782153,0.790847,0.963078,ND,ND,ND,ND,ND,ND,-,-,-,,,,2.9,3.1,3.4,,,
PB,2500908.0,Arara,25054767.0,EEEFM E EJA ANESIO DEODONIO MORENO,Estadual,84.7,79.2,99.5,0.847174,0.809537,0.995181,222.87,ND,ND,237.84,ND,ND,4.345167,-,-,3.7,,,4.1,4.3,4.6,-0.39999999999999947,,
PB,2500908.0,Arara,25054783.0,ECI EEM MONSENHOR JOSE PAULINO,Estadual,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,3.9,4.1,4.4,,,
PB,2500908.0,Arara,25112945.0,E M E F PROFª LUZIA LAUDELINO DA SILVA MEDEIROS,Municipal,64.2,66.9,99.6,0.640676,0.665102,0.996487,ND,249.32,ND,ND,245.27,ND,-,4.909833,-,,3.3,,3.9,4.1,4.4,,-0.7999999999999998,
PB,2501005.0,Araruna,25000012.0,EMEF JOAO ALVES,Municipal,68.5,70.1,88.3,0.67875,0.704628,0.883189,ND,235.23,ND,ND,235.61,ND,-,4.514,-,,3.2,,4.1,4.4,4.6,,-1.2000000000000002,
PB,2501005.0,Araruna,25058975.0,ECIT BENJAMIN MARANHAO,Estadual,82,-,100,0.82,-,1,246.1,-,239.77,253.46,-,254.82,4.992667,-,4.909833,4.1,,4.9,4.5,4.8,5.0,-0.40000000000000036,,-0.09999999999999964
PB,2501005.0,Araruna,25059017.0,EEEFM TARGINO PEREIRA,Estadual,64.5,85.9,100,0.667282,0.860098,1,ND,ND,ND,ND,ND,ND,-,-,-,,,,3.3,3.5,3.8,,,
PB,2501005.0,Araruna,25059122.0,EMEF JOANA MARIA DA CONCEICAO,Municipal,79,60.6,91.2,0.79328,0.572732,0.905006,214.68,ND,264.92,217.46,ND,257.52,3.869,-,5.374,3.1,,4.9,4.3,4.6,4.9,-1.1999999999999997,,0.0
PB,2501005.0,Araruna,25059289.0,EMEF ANTONIO PINHEIRO DE ASSIS,Municipal,-,-,98.7,-,-,0.987013,-,-,198.14,-,-,203.92,-,-,3.367667,,,3.3,,,,,,
PB,2501005.0,Araruna,25059548.0,EMEF SANTOS DUMONT,Municipal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
PB,2501005.0,Araruna,25125710.0,EMEF MANOEL FRANCISCO MARTINIANO,Municipal,-,91.2,-,-,0.899788,-,-,224.47,-,-,219.58,-,-,4.0675,-,,3.7,,,,3.9,,,
PB,2501104.0,Areia,25064118.0,EMEF VER NELSON CARNEIRO,Municipal,68,56.9,100,0.656864,0.569989,1,ND,238.49,225.13,ND,224.48,209.09,-,4.382833,3.903667,,2.5,3.9,4.7,4.9,5.2,,-2.4000000000000004,-1.3000000000000003
PB,2501104.0,Areia,25064126.0,EEEIEFM CARLOTA BARREIRA,Estadual,79.6,67.8,98.7,0.789638,0.678498,0.988892,ND,254.71,ND,ND,245.64,ND,-,5.005833,-,,3.4,,4.3,4.6,4.8,,-1.1999999999999997,
PB,2501104.0,Areia,25064134.0,ECIT MINISTRO JOSE AMERICO DE ALMEIDA,Estadual,73.6,97,100,0.731317,0.974885,1,ND,ND,ND,ND,ND,ND,-,-,-,,,,4.3,4.6,4.9,,,
PB,2501104.0,Areia,25064142.0,EEEF ALVARO MACHADO,Estadual,63.5,71.7,99.1,0.627564,0.713297,0.988892,221.08,218.66,ND,232.24,213.62,ND,4.222,3.871333,-,2.6,2.8,,3.1,3.4,3.7,-0.5,-0.6000000000000001,
PB,2501104.0,Areia,25064169.0,EEEF MONS JOAO COUTINHO,Estadual,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,
PB,2501104.0,Areia,25064410.0,EMEF JOSE LINS SOBRINHO,Municipal,65.8,89.7,100,0.652636,0.897537,1,ND,246.89,244.8,ND,233.23,237.42,-,4.668667,4.703667,,4.2,4.7,4.3,4.6,4.8,,-0.39999999999999947,-0.09999999999999964
PB,2501104.0,Areia,25064789.0,EMEF JOAO CESAR,Municipal,64.9,88.4,100,0.626114,0.894623,1,ND,253.78,241.92,ND,238.25,231.05,-,4.867167,4.5495,,4.4,4.5,4.0,4.2,4.5,,0.20000000000000018,0.0
PB,2501104.0,Areia,25106694.0,EMEF PROFESSOR ABEL BARBOSA DA SILVA,Municipal,73,91.2,100,0.728643,0.930833,1,ND,249.04,247.55,ND,231.47,256.68,-,4.675167,5.0705,,4.4,5.1,3.9,4.2,4.5,,0.20000000000000018,0.5999999999999996
PB,2501104.0,Areia,25114328.0,EMEF MADRE TRAUTLINDE,Municipal,-,-,100,-,-,1,-,-,231.44,-,-,209.34,-,-,4.013,,,4.0,,,,,,
PB,2501153.0,Areia de Baraúnas,25120549.0,EMEF SEVERINO ALVES DA COSTA,Municipal,87.9,94.1,95.5,0.873487,0.936502,0.959431,213.81,ND,ND,240.54,ND,ND,4.239167,-,-,3.7,,,4.0,4.3,4.5,-0.2999999999999998,,
PB,2501203.0,Areial,25061402.0,ECI PREFEITO FRANCISCO A SILVA,Estadual,68.5,73.2,-,0.670025,0.737404,-,237.9,246.29,-,241.5,251.63,-,4.656667,4.965333,-,3.1,3.7,,4.3,4.5,4.8,-1.1999999999999997,-0.7999999999999998,
PB,2501203.0,Areial,25061429.0,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERALDO LUIZ DE ARAUJO,Municipal,67.6,87.8,93.9,0.668925,0.881192,0.938524,232.89,254.52,247.06,242.59,268.48,254.73,4.591333,5.383333,5.029833,3.1,4.7,4.7,4.6,4.9,5.1,-1.4999999999999996,-0.20000000000000018,-0.39999999999999947
PB,2501203.0,Areial,25061569.0,GR ESC JOAO IZIDRO DOS SANTOS,Municipal,-,86.8,95.1,-,0.878584,0.953494,-,245.79,225.09,-,248.47,227.37,-,4.904333,4.207667,,4.3,4.0,,,4.6,,,-0.5999999999999996
PB,2501302.0,Aroeiras,25083490.0,ECI DEPUTADO CARLOS PESSOA FILHO,Estadual,87.3,88.2,100,0.874929,0.888889,1,231.8,260.23,225.13,235.27,276.38,231.12,4.451167,5.610167,4.270833,3.9,5.0,4.3,4.1,4.3,4.6,-0.19999999999999973,0.7000000000000002,-0.2999999999999998
PB,2501302.0,Aroeiras,25083597.0,EEEFM MAJOR JOSE BARBOSA,Estadual,-,83.6,100,-,0.836458,1,-,226.78,ND,-,234.26,ND,-,4.350667,-,,3.6,,,,3.9,,,
PB,2501302.0,Aroeiras,25084160.0,E M E F DE CAMARA,Municipal,94.7,85.7,98.2,0.95029,0.847721,0.975584,217.8,233.81,214.17,224.77,224.72,217.79,4.042833,4.308833,3.866,3.8,3.7,3.8,,4.1,4.3,,-0.39999999999999947,-0.5
PB,2501302.0,Aroeiras,25084372.0,E M E F DE CHA DA BARRA,Municipal,69.7,-,-,0.654373,-,-,205.61,-,-,190.06,-,-,3.261167,-,-,2.1,,,,2.3,2.6,,,
PB,2501302.0,Aroeiras,25108158.0,E M E F MANOEL BERNARDO FRAZAO,Municipal,91.4,85.4,-,0.911959,0.830291,-,219.46,213.1,-,230.78,214.82,-,4.170667,3.798667,-,3.8,3.2,,,4.1,4.3,,-0.8999999999999995,
PB,2501302.0,Aroeiras,25109332.0,E M E F MANOEL FELIX ISMAEL,Municipal,91.2,64.2,92.1,0.907927,0.659634,0.925472,ND,210.41,ND,ND,227.25,ND,-,3.961,-,,2.6,,3.4,3.7,4.0,,-1.1,
PB,2501302.0,Aroeiras,25114522.0,E M E F MARIA LUCIA DE ALBUQUERQUE,Municipal,77.7,78.8,93.3,0.802486,0.785673,0.936722,227.53,230.51,224.44,246.59,225.6,231.09,4.568667,4.2685,4.258833,3.7,3.4,4.0,4.3,4.5,4.8,-0.5999999999999996,-1.1,-0.7999999999999998
PB,2501302.0,Aroeiras,25119010.0,E M E F JARDIRENE OLIVEIRA DE SOUZA,Municipal,63.9,70,99.3,0.64915,0.701182,0.994974,ND,ND,220.34,ND,ND,223.06,-,-,4.056667,,,4.0,4.5,4.8,5.1,,,-1.0999999999999996
PB,2501351.0,Assunção,25050427.0,ECI EEM JOAO ROGERIO DIAS TOLEDO,Estadual,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,4.0,4.3,4.6,,,
PB,2501351.0,Assunção,25051253.0,EMEF JAIME FERREIRA TAVARES,Municipal,69.9,67.1,99.2,0.704276,0.677261,0.992696,ND,ND,254.05,ND,ND,252.35,-,-,5.106667,,,5.1,4.3,4.5,4.8,,,0.2999999999999998
PB,2501401.0,Baía da Traição,25085875.0,EEEFM MATIAS FREIRE,Estadual,71.6,60.5,100,0.714437,0.60558,1,ND,234.98,ND,ND,238.01,ND,-,4.549833,-,,2.8,,3.9,4.2,4.4,,-1.4000000000000004,
PB,2501401.0,Baía da Traição,25085883.0,EMEF ANTONIO AZEVEDO,Municipal,80.6,81,85.3,0.808935,0.819354,0.86004,225.31,ND,240.74,233.83,ND,257.31,4.319,-,4.9675,3.5,,4.3,4.5,4.8,5.1,-1.0,,-0.7999999999999998
PB,2501401.0,Baía da Traição,25086006.0,EMEF MARIA DAS DORES BORGES,Municipal,-,81.5,94.4,-,0.823142,0.950621,-,ND,212.42,-,ND,209.02,-,-,3.690667,,,3.5,,,,,,
PB,2501401.0,Baía da Traição,25101978.0,EEIEFM AKAJUTIBIRO,Estadual,-,-,71.4,-,-,0.713406,-,-,ND,-,-,ND,-,-,-,,,,,,,,,
PB,2501401.0,Baía da Traição,25120778.0,EEIEFM PEDRO POTI,Estadual,91.3,85.5,98.8,0.917181,0.851513,0.987841,194.24,218.83,ND,206.37,208.91,ND,3.3435,3.795667,-,3.1,3.2,,3.4,3.6,3.9,-0.2999999999999998,-0.3999999999999999,
PB,2501500.0,Bananeiras,25064797.0,EMEF PROFª EMILIA DE OLIVEIRA NEVES,Municipal,70.8,70.5,95.3,0.699023,0.709568,0.957011,ND,237.98,ND,ND,236.79,ND,-,4.5795,-,,3.2,,4.2,4.5,4.7,,-1.2999999999999998,
PB,2501500.0,Bananeiras,25064894.0,ECIT JOSE ROCHA SOBRINHO,Estadual,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,4.1,4.3,4.6,,,
PB,2501500.0,Bananeiras,25065025.0,ENE PROF PEDRO A DE ALMEIDA,Estadual,74.4,-,-,0.738504,-,-,ND,-,-,ND,-,-,-,-,-,,,,3.6,3.9,4.1,,,
PB,2501500.0,Bananeiras,25065149.0,EMEF JOAO PAULO II,Municipal,62.4,67.8,95.2,0.614828,0.681752,0.950111,ND,236.95,ND,ND,234.65,ND,-,4.526667,-,,3.1,,4.0,4.3,4.5,,-1.1999999999999997,
PB,2501500.0,Bananeiras,25065173.0,EMEF MIGUEL FILGUEIRA FILHO,Municipal,67.2,77.3,93.4,0.681292,0.777333,0.933958,ND,220.85,ND,ND,220.13,ND,-,4.016333,-,,3.1,,4.3,4.5,4.8,,-1.4,
PB,2501534.0,Baraúna,25043846.0,EMEF FELIPE RODRIGUES DE LIMA,Municipal,93.2,90.2,100,0.933488,0.899721,1,252.76,252.64,ND,258.22,245.83,ND,5.183,4.9745,-,4.8,4.5,,3.6,3.8,4.1,1.1999999999999997,0.7000000000000002,
PB,2501575.0,Barra de Santana,25052004.0,EMEB JULITA GUERRA,Municipal,83.3,94.6,100,0.857055,0.946767,1,275.45,241.94,ND,282.04,242.18,ND,5.958167,4.735333,-,5.1,4.5,,4.8,5.1,5.3,0.2999999999999998,-0.5999999999999996,
PB,2501575.0,Barra de Santana,25052497.0,ECI EEM ALMIRANTE ANTONIO HERACLITO DO REGO,Estadual,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,3.8,4.1,4.4,,,
PB,2501575.0,Barra de Santana,25052691.0,EMEB JOSUE BARBOSA DE ANDRADE LIRA,Municipal,76.8,83.3,100,0.767823,0.838589,1,239.75,222.6,230.43,249.85,239.81,222.68,4.826667,4.3735,4.2185,3.7,3.7,4.2,,4.0,4.2,,-0.2999999999999998,0.0
