SG_UF,CO_MUNICIPIO,NO_MUNICIPIO,ID_ESCOLA,NO_ESCOLA,REDE,ORIGEM,CATEGORY
PB,2500403.0,Alagoa Nova,25122150.0,COLEGIO MUNICIPAL PROFESSORA VIOLETA COSTA DE SOUZA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500502.0,Alagoinha,25066374.0,ECIT AGENOR CLEMENTE DOS SANTOS,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & MEDIO
PB,2500502.0,Alagoinha,25066609.0,GR MUL JOSE BARBOSA DE LUCENA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2500502.0,Alagoinha,25253948.0,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL PROFESSORA LIA BELTRAO,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500536.0,Alcantil,25051598.0,ECIT PROFESSORA MARIA CECILIA DE CASTRO,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & MEDIO
PB,2500536.0,Alcantil,25052292.0,ESCOLA MUN ENS FUND JOSE EUZEBIO DA COSTA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2500536.0,Alcantil,25052365.0,ESCOLA MUN ENS FUND JOSE CLEMENTE,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2500577.0,Algodão de Jandaíra,25057898.0,EMEF MANOEL ANTONIO COELHO DE ANDRADE,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2500601.0,Alhandra,25100033.0,ECIT RENATO RIBEIRO COUTINHO,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & MEDIO
PB,2500601.0,Alhandra,25100041.0,EEEFM BARAO DO ABIAI,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS & MEDIO
PB,2500601.0,Alhandra,25100092.0,EMEIEF ALFREDO JOSE DE CARVALHO,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2500601.0,Alhandra,25100122.0,EMEIEF CREUZA RAQUEL PEREIRA GENUARIO NUNES,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2500601.0,Alhandra,25100165.0,EMEIEF HERCULANO BANDEIRA LUNDGREN,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500601.0,Alhandra,25100360.0,EMEIEF PROF ZELIA CORREIA DO O,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2500601.0,Alhandra,25102519.0,EEEFM ANTONIO CAMELO,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS & MEDIO
PB,2500601.0,Alhandra,25132261.0,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL JOAO FRANCISCO DE LIMA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500700.0,São João do Rio do Peixe,25004875.0,ENE MIN JOSE AMERICO DE ALMEIDA,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS & MEDIO
PB,2500700.0,São João do Rio do Peixe,25004883.0,ECIT CORONEL JACOB GUILHERME FRANTZ,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & MEDIO
PB,2500700.0,São João do Rio do Peixe,25004999.0,EEEF DE BANDARRA,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & MEDIO
PB,2500700.0,São João do Rio do Peixe,25005030.0,EMEF DE GRAVATA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2500700.0,São João do Rio do Peixe,25005502.0,EMEIEF JACOB GUILHERME FRANTZ,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2500700.0,São João do Rio do Peixe,25114565.0,EMEIEF MARIA VIEIRA DE SOUSA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2500700.0,São João do Rio do Peixe,25118447.0,EMEIEF DR JOSE DANTAS PINHEIRO,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2500734.0,Amparo,25049852.0,ESCOLA M DE EDUCACAO BASICA ILDEFONSO ANSELMO DA SILVA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2500775.0,Aparecida,25018094.0,ECI EEFM DR JOSE GADELHA,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & MEDIO
PB,2500775.0,Aparecida,25019406.0,EMEF JOAQUINA AMELIA DE SA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2500775.0,Aparecida,25019481.0,EMEF ANTONIO MEIRA DE SA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2500775.0,Aparecida,25241923.0,EMEF SEVERINA FERREIRA DE SOUSA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2500809.0,Araçagi,25066668.0,EEEFM RODRIGUES DE CARVALHO,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS & MEDIO
PB,2500809.0,Araçagi,25066897.0,EMEF LUIZ BARBOSA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2500809.0,Araçagi,25066900.0,EMEF MARGARIDA PESSOA COUTINHO,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2500809.0,Araçagi,25109650.0,EMEF AGRIPINO RIBEIRO FILHO,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2500809.0,Araçagi,25113348.0,EMEF OLIVIO MAROJA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2500908.0,Arara,25054767.0,EEEFM E EJA ANESIO DEODONIO MORENO,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS & MEDIO
PB,2500908.0,Arara,25054783.0,ECI EEM MONSENHOR JOSE PAULINO,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS & MEDIO
PB,2500908.0,Arara,25112945.0,E M E F PROFª LUZIA LAUDELINO DA SILVA MEDEIROS,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2501005.0,Araruna,25000012.0,EMEF JOAO ALVES,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2501005.0,Araruna,25058975.0,ECIT BENJAMIN MARANHAO,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & MEDIO
PB,2501005.0,Araruna,25059017.0,EEEFM TARGINO PEREIRA,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS & MEDIO
PB,2501005.0,Araruna,25059122.0,EMEF JOANA MARIA DA CONCEICAO,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501005.0,Araruna,25059289.0,EMEF ANTONIO PINHEIRO DE ASSIS,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501005.0,Araruna,25059548.0,EMEF SANTOS DUMONT,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501005.0,Araruna,25125710.0,EMEF MANOEL FRANCISCO MARTINIANO,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2501104.0,Areia,25064118.0,EMEF VER NELSON CARNEIRO,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501104.0,Areia,25064126.0,EEEIEFM CARLOTA BARREIRA,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS & MEDIO
PB,2501104.0,Areia,25064134.0,ECIT MINISTRO JOSE AMERICO DE ALMEIDA,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & MEDIO
PB,2501104.0,Areia,25064142.0,EEEF ALVARO MACHADO,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS & MEDIO
PB,2501104.0,Areia,25064169.0,EEEF MONS JOAO COUTINHO,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501104.0,Areia,25064410.0,EMEF JOSE LINS SOBRINHO,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501104.0,Areia,25064789.0,EMEF JOAO CESAR,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501104.0,Areia,25106694.0,EMEF PROFESSOR ABEL BARBOSA DA SILVA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501104.0,Areia,25114328.0,EMEF MADRE TRAUTLINDE,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501153.0,Areia de Baraúnas,25120549.0,EMEF SEVERINO ALVES DA COSTA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501203.0,Areial,25061402.0,ECI PREFEITO FRANCISCO A SILVA,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS & MEDIO
PB,2501203.0,Areial,25061429.0,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL GERALDO LUIZ DE ARAUJO,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501203.0,Areial,25061569.0,GR ESC JOAO IZIDRO DOS SANTOS,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2501302.0,Aroeiras,25083490.0,ECI DEPUTADO CARLOS PESSOA FILHO,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & MEDIO
PB,2501302.0,Aroeiras,25083597.0,EEEFM MAJOR JOSE BARBOSA,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS & MEDIO
PB,2501302.0,Aroeiras,25084160.0,E M E F DE CAMARA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2501302.0,Aroeiras,25084372.0,E M E F DE CHA DA BARRA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2501302.0,Aroeiras,25108158.0,E M E F MANOEL BERNARDO FRAZAO,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501302.0,Aroeiras,25109332.0,E M E F MANOEL FELIX ISMAEL,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2501302.0,Aroeiras,25114522.0,E M E F MARIA LUCIA DE ALBUQUERQUE,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501302.0,Aroeiras,25119010.0,E M E F JARDIRENE OLIVEIRA DE SOUZA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2501351.0,Assunção,25050427.0,ECI EEM JOAO ROGERIO DIAS TOLEDO,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & MEDIO
PB,2501351.0,Assunção,25051253.0,EMEF JAIME FERREIRA TAVARES,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501401.0,Baía da Traição,25085875.0,EEEFM MATIAS FREIRE,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS & MEDIO
PB,2501401.0,Baía da Traição,25085883.0,EMEF ANTONIO AZEVEDO,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501401.0,Baía da Traição,25086006.0,EMEF MARIA DAS DORES BORGES,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501401.0,Baía da Traição,25101978.0,EEIEFM AKAJUTIBIRO,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS & MEDIO
PB,2501401.0,Baía da Traição,25120778.0,EEIEFM PEDRO POTI,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS & MEDIO
PB,2501500.0,Bananeiras,25064797.0,EMEF PROFª EMILIA DE OLIVEIRA NEVES,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501500.0,Bananeiras,25064894.0,ECIT JOSE ROCHA SOBRINHO,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & MEDIO
PB,2501500.0,Bananeiras,25065025.0,ENE PROF PEDRO A DE ALMEIDA,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & MEDIO
PB,2501500.0,Bananeiras,25065149.0,EMEF JOAO PAULO II,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501500.0,Bananeiras,25065173.0,EMEF MIGUEL FILGUEIRA FILHO,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501534.0,Baraúna,25043846.0,EMEF FELIPE RODRIGUES DE LIMA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501575.0,Barra de Santana,25052004.0,EMEB JULITA GUERRA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501575.0,Barra de Santana,25052497.0,ECI EEM ALMIRANTE ANTONIO HERACLITO DO REGO,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS & MEDIO
PB,2501575.0,Barra de Santana,25052691.0,EMEB JOSUE BARBOSA DE ANDRADE LIRA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501575.0,Barra de Santana,25052730.0,EMEB JOSE HERMINIO BEZERRA CABRAL,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501575.0,Barra de Santana,25106104.0,EMEB PROFESSORA LAURA BARBOSA BEZERRA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501575.0,Barra de Santana,25132571.0,ESCOLA MUNICIPAL DE EDUCACAO BASICA PROFESSORA MARIA OLIVEIRA DOS SANTOS,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501575.0,Barra de Santana,25133624.0,EMEB PROFESSORA MARIA SANTINA DA COSTA GONCALVES,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501609.0,Barra de Santa Rosa,25055020.0,COLEGIO MUNICIPAL JOSE EUDENICIO CORREIA LINS,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2501609.0,Barra de Santa Rosa,25055046.0,ECIT JOSE LUIZ NETO,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & MEDIO
PB,2501708.0,Barra de São Miguel,25051261.0,EM EDUCACAO BASICA JOAO PINTO DA SILVA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501708.0,Barra de São Miguel,25051512.0,EMEF MANOEL ESTEVAM DE MIRANDA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501708.0,Barra de São Miguel,25257943.0,EMEF JOSE ESTEVAM NETO,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501807.0,Bayeux,25090879.0,EEEFM ENG JOSE DAVILA LINS,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & MEDIO
PB,2501807.0,Bayeux,25090887.0,ECIT PROFESSOR ANTONIO GOMES,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS & MEDIO
PB,2501807.0,Bayeux,25090909.0,ECI IRINEU PINTO,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & MEDIO
PB,2501807.0,Bayeux,25090941.0,EEEF ANITA GARIBALDI,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501807.0,Bayeux,25090976.0,EEEF GETULIO VARGAS,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501807.0,Bayeux,25090984.0,ECI EEFM JOAO CAETANO,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS & MEDIO
PB,2501807.0,Bayeux,25090992.0,EEEF SENADOR TEOTONIO VILELA,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501807.0,Bayeux,25091000.0,EEEF TANCREDO NEVES,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS & MEDIO
PB,2501807.0,Bayeux,25091018.0,EEEF VERALDO LEITE,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS & MEDIO
PB,2501807.0,Bayeux,25091034.0,EEEF VICTOR MEIRELES,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2501807.0,Bayeux,25091050.0,EMEF MARIA DO CARMO DA SILVEIRA LIMA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501807.0,Bayeux,25091069.0,EMEF FRANCISCO JOAQUIM DE BRITO,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501807.0,Bayeux,25091077.0,EMEF PRESIDENTE TANCREDO DE ALMEIDA NEVES,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501807.0,Bayeux,25091085.0,EMEF BERENICE RIBEIRO COUTINHO,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501807.0,Bayeux,25091131.0,EMEF JOSE RIBEIRO DE MORAIS,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501807.0,Bayeux,25091140.0,EMEF FERNANDO CUNHA LIMA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501807.0,Bayeux,25091174.0,EMEF JOAO FERNANDES DE LIMA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501807.0,Bayeux,25091190.0,EMEF LUCIANO RIBEIRO DE MORAIS,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501807.0,Bayeux,25091212.0,EMEF PASCOAL MASSILIO,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501807.0,Bayeux,25091239.0,EMEF MARIA JOSE PINTO DE LIMA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501807.0,Bayeux,25109529.0,EMEF VEREADOR JOAO BELMIRO DOS SANTOS,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501807.0,Bayeux,25113046.0,EMEF DR MOACIR DANTAS,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501807.0,Bayeux,25113054.0,EMEF ASSIS CHATEAUBRIAND,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501807.0,Bayeux,25113631.0,EMEF VEREADOR JOAO JACINTO DANTAS,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501807.0,Bayeux,25115227.0,EMEF DOM HELDER CAMARA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501906.0,Belém,25067133.0,ECIT ENG MARCIA GUEDES ALCOFORADO DE CARVALHO,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & MEDIO
PB,2501906.0,Belém,25067141.0,EEEFM FELINTO ELIZIO,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS & MEDIO
PB,2501906.0,Belém,25067435.0,EMEF ALICE DE MELO VIANA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2501906.0,Belém,25116088.0,EMEF ANITA DE MELO BARBOSA LIMA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2502003.0,Belém do Brejo do Cruz,25000047.0,ECI NOSSA SENHORA DA CONCEICAO,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & MEDIO
PB,2502003.0,Belém do Brejo do Cruz,25000055.0,EEEFM AMERICO MAIA,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS & MEDIO
PB,2502003.0,Belém do Brejo do Cruz,25000306.0,EMEF ANA RITA TRIGUEIRO DE FREITAS LINHARES,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2502052.0,Bernardino Batista,25121316.0,EMEF JOSE BATISTA DE SOUSA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2502102.0,Boa Ventura,25027557.0,EMEF EMILIA DINIZ ALVARENGA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS
PB,2502102.0,Boa Ventura,25027573.0,ECI EEM JOAO CAVALCANTE SULA,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS & MEDIO
PB,2502102.0,Boa Ventura,25027603.0,EMEIF ADERSON HENRIQUES CHAVES,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2502151.0,Boa Vista,25075918.0,ECI EEM TEODOSIO DE OLIVEIRA LEDO,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS & MEDIO
PB,2502151.0,Boa Vista,25076078.0,EMEIEF PROFESSORA FRANCISCA LEITE VITORINO,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2502201.0,Bom Jesus,25006134.0,EMEIEF MARIA DO CARMO GONCALVES,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2502300.0,Bom Sucesso,25000349.0,ECIT PADRE ARISTIDES,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & MEDIO
PB,2502300.0,Bom Sucesso,25000373.0,EEEF DR JOSE PAZ DE LIMA,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2502300.0,Bom Sucesso,25000489.0,ESC MUL CIDADA INTEGRAL DE ENS INF E FUND LAUREANO LEAO DE LIMA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2502300.0,Bom Sucesso,25000497.0,ESCOLA MUNICIPAL BALBINA DE ALMEIDA OLIVEIRA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2502409.0,Bonito de Santa Fé,25006223.0,ECI EEM MONSENHOR MORAIS,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & MEDIO
PB,2502409.0,Bonito de Santa Fé,25006231.0,EEEF JOAQUIM NABUCO,Estadual,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2502409.0,Bonito de Santa Fé,25006827.0,EMEIF MARIA ALMEIDA DE SOUSA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2502409.0,Bonito de Santa Fé,25006908.0,EMEIF PROF MOZART RODRIGUES,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2502409.0,Bonito de Santa Fé,25007033.0,EMEIF PROF JOAO NERY,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS & Anos INICIAIS
PB,2502508.0,Boqueirão,25051563.0,EMEF AGROTECNICA JOSE AUGUSTO LIRA,Municipal,IDEB_ANOS_FINAIS_PB,Anos FINAIS
